distance_km,avg_speed_kmph,vehicle_type,traffic_level,co2_emission
61.5,75,bike,low,2460.0
4.9,29,bike,medium,235.2
11.6,41,car,low,1392.0
3.4,40,car,medium,489.6
47.2,20,bike,high,2832.0
13.1,63,car,low,1572.0
13.1,6,bike,high,786.0
82.3,43,car,low,9876.0
75.7,7,car,high,13626.0
99.5,14,bike,high,5970.0
35.3,11,bike,high,2118.0
34.7,5,bike,high,2082.0
22.8,58,car,low,2736.0
99.8,14,bike,high,5988.0
5.9,13,bike,high,354.0
25.1,18,bike,high,1506.0
44.2,68,car,low,5304.0
45.2,5,car,high,8136.0
28.5,8,car,high,5130.0
74.9,62,bike,low,2996.0
94.6,15,car,high,17028.0
26.6,20,car,high,4788.0
10.3,65,bike,low,412.0
3.6,30,car,medium,518.4
86.9,71,car,low,10428.0
80.2,25,bike,medium,3849.6
83.2,61,car,low,9984.0
86.5,11,car,high,15570.0
43.0,16,bike,high,2580.0
88.5,27,car,medium,12744.0
28.4,21,car,medium,4089.6
8.9,6,bike,high,534.0
50.0,49,bike,low,2000.0
77.4,16,car,high,13932.0
69.6,75,car,low,8352.0
36.5,41,car,low,4380.0
78.0,31,bike,medium,3744.0
19.5,35,bike,medium,936.0
39.8,65,car,low,4776.0
2.0,68,bike,low,80.0
3.9,7,car,high,702.0
64.6,33,bike,medium,3100.8
31.9,30,bike,medium,1531.2
97.8,79,car,low,11736.0
6.7,21,car,medium,964.8
27.5,39,car,medium,3960.0
52.6,19,car,high,9468.0
23.1,29,car,medium,3326.4
89.2,61,bike,low,3568.0
97.0,38,car,medium,13968.0
25.6,79,car,low,3072.0
36.0,40,car,medium,5184.0
23.7,20,car,high,4266.0
49.6,77,bike,low,1984.0
86.6,34,bike,medium,4156.8
89.9,63,car,low,10788.0
65.1,42,bike,low,2604.0
22.3,35,bike,medium,1070.4
88.1,20,bike,high,5286.0
62.1,26,car,medium,8942.4
57.4,67,bike,low,2296.0
67.7,31,car,medium,9748.8
79.4,64,car,low,9528.0
49.0,34,bike,medium,2352.0
5.9,33,bike,medium,283.2
37.2,7,car,high,6696.0
95.9,11,bike,high,5754.0
97.8,79,bike,low,3912.0
2.9,20,bike,high,174.0
80.1,12,bike,high,4806.0
64.7,30,car,medium,9316.8
61.1,37,bike,medium,2932.8
13.0,20,car,medium,1872.0
97.1,35,car,medium,13982.4
81.9,8,car,high,14742.0
90.4,40,car,medium,13017.6
83.0,10,bike,high,4980.0
87.9,8,car,high,15822.0
5.2,20,car,high,936.0
42.2,16,car,high,7596.0
76.7,12,car,high,13806.0
80.3,23,car,medium,11563.2
65.5,33,bike,medium,3144.0
14.8,76,bike,low,592.0
63.9,34,car,medium,9201.6
66.6,50,car,low,7992.0
72.1,27,car,medium,10382.4
20.0,31,car,medium,2880.0
10.6,30,bike,medium,508.8
95.2,20,bike,high,5712.0
51.0,27,bike,medium,2448.0
82.5,76,bike,low,3300.0
4.5,61,car,low,540.0
29.9,11,bike,high,1794.0
51.0,19,bike,high,3060.0
95.9,9,car,high,17262.0
26.1,41,bike,low,1044.0
69.3,15,bike,high,4158.0
87.4,35,bike,medium,4195.2
48.3,29,bike,medium,2318.4
11.1,11,bike,high,666.0
74.4,30,car,medium,10713.6
96.4,38,bike,medium,4627.2
27.7,8,car,high,4986.0
49.2,51,car,low,5904.0
12.0,55,car,low,1440.0
98.1,40,car,medium,14126.4
23.2,34,car,medium,3340.8
23.4,23,car,medium,3369.6
77.3,57,car,low,9276.0
26.4,26,car,medium,3801.6
28.6,22,car,medium,4118.4
23.8,47,bike,low,952.0
54.9,26,car,medium,7905.6
48.1,30,bike,medium,2308.8
70.5,36,car,medium,10152.0
91.1,33,bike,medium,4372.8
97.6,45,car,low,11712.0
90.9,27,car,medium,13089.6
93.0,49,car,low,11160.0
15.4,6,car,high,2772.0
81.6,55,bike,low,3264.0
6.4,46,car,low,768.0
66.1,60,bike,low,2644.0
44.6,55,bike,low,1784.0
62.7,8,car,high,11286.0
83.8,44,bike,low,3352.0
73.7,67,car,low,8844.0
7.6,78,bike,low,304.0
85.4,79,bike,low,3416.0
86.8,57,bike,low,3472.0
31.1,11,bike,high,1866.0
70.9,18,car,high,12762.0
93.3,16,bike,high,5598.0
95.3,20,car,high,17154.0
83.3,18,bike,high,4998.0
26.8,33,bike,medium,1286.4
38.0,77,car,low,4560.0
68.3,25,car,medium,9835.2
76.3,64,car,low,9156.0
80.8,12,car,high,14544.0
19.2,74,car,low,2304.0
8.8,17,car,high,1584.0
40.0,44,car,low,4800.0
18.4,36,bike,medium,883.2
31.1,14,bike,high,1866.0
61.0,13,bike,high,3660.0
83.2,51,car,low,9984.0
3.4,14,bike,high,204.0
52.0,32,car,medium,7488.0
2.6,8,bike,high,156.0
18.2,68,car,low,2184.0
65.7,39,car,medium,9460.8
91.8,43,bike,low,3672.0
10.7,60,car,low,1284.0
79.9,7,car,high,14382.0
99.5,10,car,high,17910.0
55.1,27,car,medium,7934.4
83.4,7,bike,high,5004.0
7.9,54,bike,low,316.0
97.7,25,car,medium,14068.8
84.3,73,bike,low,3372.0
56.4,5,car,high,10152.0
89.2,15,car,high,16056.0
77.6,18,car,high,13968.0
9.4,25,bike,medium,451.2
83.5,16,bike,high,5010.0
86.7,38,car,medium,12484.8
9.3,14,bike,high,558.0
37.5,58,bike,low,1500.0
26.2,64,car,low,3144.0
83.0,20,car,high,14940.0
75.1,40,bike,medium,3604.8
4.1,32,bike,medium,196.8
5.7,8,car,high,1026.0
51.1,22,bike,medium,2452.8
7.3,30,bike,medium,350.4
82.2,15,car,high,14796.0
81.0,8,bike,high,4860.0
53.2,29,bike,medium,2553.6
2.9,70,bike,low,116.0
84.7,64,bike,low,3388.0
18.5,74,car,low,2220.0
48.9,27,car,medium,7041.6
92.4,71,bike,low,3696.0
34.1,64,car,low,4092.0
3.5,20,bike,high,210.0
31.1,25,bike,medium,1492.8
57.2,41,bike,low,2288.0
83.5,78,car,low,10020.0
82.7,17,car,high,14886.0
53.6,20,bike,high,3216.0
16.1,63,bike,low,644.0
42.0,37,bike,medium,2016.0
38.4,35,car,medium,5529.6
49.9,8,bike,high,2994.0
77.1,7,bike,high,4626.0
74.7,76,bike,low,2988.0
17.2,65,bike,low,688.0
17.6,46,car,low,2112.0
3.7,73,car,low,444.0
26.9,11,car,high,4842.0
6.0,27,car,medium,864.0
92.7,35,bike,medium,4449.6
80.2,7,car,high,14436.0
34.4,20,bike,medium,1651.2
32.3,22,car,medium,4651.2
85.3,26,car,medium,12283.2
85.2,8,bike,high,5112.0
9.6,67,bike,low,384.0
83.8,6,car,high,15084.0
18.1,65,car,low,2172.0
87.8,21,bike,medium,4214.4
75.0,15,car,high,13500.0
23.7,76,bike,low,948.0
55.5,28,bike,medium,2664.0
25.3,35,bike,medium,1214.4
63.4,66,car,low,7608.0
59.2,14,bike,high,3552.0
90.9,76,bike,low,3636.0
67.7,24,car,medium,9748.8
37.3,39,car,medium,5371.2
44.7,72,bike,low,1788.0
8.6,18,bike,high,516.0
50.5,10,bike,high,3030.0
67.0,74,car,low,8040.0
1.9,20,car,high,342.0
77.8,16,car,high,14004.0
16.4,11,bike,high,984.0
43.2,9,bike,high,2592.0
13.4,22,bike,medium,643.2
54.5,35,car,medium,7848.0
87.0,12,bike,high,5220.0
73.5,71,bike,low,2940.0
77.0,10,car,high,13860.0
61.5,7,bike,high,3690.0
29.3,34,bike,medium,1406.4
61.0,5,car,high,10980.0
98.2,35,bike,medium,4713.6
11.7,43,car,low,1404.0
10.4,36,bike,medium,499.2
90.8,16,car,high,16344.0
74.0,38,bike,medium,3552.0
75.9,37,car,medium,10929.6
28.4,26,bike,medium,1363.2
75.1,30,car,medium,10814.4
17.7,27,bike,medium,849.6
7.5,35,bike,medium,360.0
77.1,18,bike,high,4626.0
51.1,38,bike,medium,2452.8
70.2,34,car,medium,10108.8
66.3,54,car,low,7956.0
28.2,38,bike,medium,1353.6
20.3,28,car,medium,2923.2
5.7,8,car,high,1026.0
72.1,79,car,low,8652.0
19.7,27,bike,medium,945.6
84.4,8,bike,high,5064.0
53.7,21,car,medium,7732.8
80.4,10,car,high,14472.0
33.0,23,bike,medium,1584.0
94.0,57,car,low,11280.0
34.8,33,car,medium,5011.2
78.1,36,bike,medium,3748.8
8.9,28,car,medium,1281.6
39.6,6,bike,high,2376.0
31.0,26,car,medium,4464.0
69.4,11,bike,high,4164.0
65.0,12,bike,high,3900.0
83.0,78,car,low,9960.0
33.7,15,bike,high,2022.0
85.1,36,car,medium,12254.4
98.1,12,bike,high,5886.0
5.4,31,bike,medium,259.2
29.4,41,car,low,3528.0
19.3,22,car,medium,2779.2
61.6,60,bike,low,2464.0
56.3,32,bike,medium,2702.4
9.3,62,bike,low,372.0
64.6,76,bike,low,2584.0
4.4,10,car,high,792.0
81.8,50,bike,low,3272.0
20.8,11,bike,high,1248.0
3.5,72,car,low,420.0
93.1,58,bike,low,3724.0
25.3,11,car,high,4554.0
38.9,22,car,medium,5601.6
59.7,38,bike,medium,2865.6
42.0,23,car,medium,6048.0
97.8,33,car,medium,14083.2
86.2,10,car,high,15516.0
63.6,38,car,medium,9158.4
80.8,16,car,high,14544.0
28.2,6,car,high,5076.0
19.3,6,bike,high,1158.0
45.0,45,bike,low,1800.0
75.0,5,car,high,13500.0
1.9,62,car,low,228.0
82.2,55,bike,low,3288.0
54.6,58,bike,low,2184.0
26.6,54,car,low,3192.0
49.6,31,car,medium,7142.4
19.6,40,car,low,2352.0
23.4,53,car,low,2808.0
51.4,12,car,high,9252.0
96.9,63,bike,low,3876.0
34.2,38,car,medium,4924.8
50.7,71,car,low,6084.0
78.0,59,bike,low,3120.0
10.7,74,car,low,1284.0
17.3,69,bike,low,692.0
39.4,66,bike,low,1576.0
71.4,38,car,medium,10281.6
26.1,46,car,low,3132.0
67.5,16,bike,high,4050.0
51.8,45,car,low,6216.0
47.5,16,car,high,8550.0
34.0,20,car,medium,4896.0
86.8,31,car,medium,12499.2
51.6,19,bike,high,3096.0
70.5,69,bike,low,2820.0
72.7,17,car,high,13086.0
89.9,31,bike,medium,4315.2
5.8,62,bike,low,232.0
34.1,67,car,low,4092.0
49.8,51,car,low,5976.0
72.8,29,car,medium,10483.2
7.2,32,bike,medium,345.6
60.0,16,car,high,10800.0
99.4,20,bike,high,5964.0
96.7,76,car,low,11604.0
89.7,44,car,low,10764.0
63.7,15,car,high,11466.0
52.3,80,car,low,6276.0
79.1,77,car,low,9492.0
6.3,61,car,low,756.0
6.9,29,bike,medium,331.2
97.9,56,car,low,11748.0
35.3,80,car,low,4236.0
28.7,32,bike,medium,1377.6
99.4,29,car,medium,14313.6
7.2,15,car,high,1296.0
41.6,29,car,medium,5990.4
31.7,28,bike,medium,1521.6
80.8,79,bike,low,3232.0
69.4,16,car,high,12492.0
89.9,65,bike,low,3596.0
47.8,38,bike,medium,2294.4
35.8,60,car,low,4296.0
72.6,80,bike,low,2904.0
24.8,31,car,medium,3571.2
29.8,73,car,low,3576.0
29.8,18,bike,high,1788.0
40.7,73,bike,low,1628.0
73.6,39,car,medium,10598.4
3.2,28,car,medium,460.8
48.2,20,bike,medium,2313.6
75.6,5,car,high,13608.0
75.8,59,car,low,9096.0
14.5,31,bike,medium,696.0
32.7,61,bike,low,1308.0
93.9,12,bike,high,5634.0
75.4,5,car,high,13572.0
56.9,79,bike,low,2276.0
88.6,13,bike,high,5316.0
48.2,63,bike,low,1928.0
55.0,13,bike,high,3300.0
57.9,5,bike,high,3474.0
25.7,65,car,low,3084.0
14.2,46,bike,low,568.0
46.0,79,bike,low,1840.0
11.1,54,bike,low,444.0
89.7,20,car,high,16146.0
93.7,23,bike,medium,4497.6
55.8,31,bike,medium,2678.4
82.8,22,bike,medium,3974.4
13.7,63,car,low,1644.0
95.0,18,bike,high,5700.0
27.2,19,bike,high,1632.0
97.6,33,bike,medium,4684.8
71.2,18,car,high,12816.0
37.3,33,bike,medium,1790.4
34.2,32,car,medium,4924.8
63.2,77,car,low,7584.0
95.1,29,bike,medium,4564.8
84.3,20,car,high,15174.0
99.4,14,car,high,17892.0
49.7,9,bike,high,2982.0
58.1,71,car,low,6972.0
13.7,55,car,low,1644.0
11.3,25,bike,medium,542.4
45.7,16,car,high,8226.0
40.6,46,car,low,4872.0
89.2,10,car,high,16056.0
94.8,16,bike,high,5688.0
23.5,35,car,medium,3384.0
75.0,54,car,low,9000.0
38.2,13,bike,high,2292.0
61.2,62,car,low,7344.0
33.9,66,bike,low,1356.0
70.3,17,car,high,12654.0
22.6,42,car,low,2712.0
85.6,23,car,medium,12326.4
65.8,13,car,high,11844.0
9.0,64,car,low,1080.0
4.4,7,car,high,792.0
77.4,41,car,low,9288.0
59.3,59,bike,low,2372.0
60.4,14,car,high,10872.0
76.9,45,bike,low,3076.0
64.3,47,car,low,7716.0
28.8,77,car,low,3456.0
32.7,36,car,medium,4708.8
84.8,24,bike,medium,4070.4
69.1,75,bike,low,2764.0
85.3,67,car,low,10236.0
82.2,19,bike,high,4932.0
37.4,57,bike,low,1496.0
64.2,20,car,medium,9244.8
33.6,5,car,high,6048.0
66.0,13,car,high,11880.0
61.8,16,car,high,11124.0
95.6,70,bike,low,3824.0
25.5,51,car,low,3060.0
22.8,55,car,low,2736.0
11.7,22,car,medium,1684.8
26.3,43,car,low,3156.0
24.6,18,car,high,4428.0
63.2,77,car,low,7584.0
65.6,38,bike,medium,3148.8
30.8,17,car,high,5544.0
93.8,6,bike,high,5628.0
96.7,27,car,medium,13924.8
69.5,18,bike,high,4170.0
83.3,70,bike,low,3332.0
29.6,17,car,high,5328.0
92.8,47,car,low,11136.0
81.4,57,car,low,9768.0
71.4,77,bike,low,2856.0
84.4,68,bike,low,3376.0
88.9,8,car,high,16002.0
9.3,68,bike,low,372.0
79.5,36,car,medium,11448.0
34.4,66,car,low,4128.0
47.0,76,car,low,5640.0
54.8,7,bike,high,3288.0
42.1,8,bike,high,2526.0
15.3,13,car,high,2754.0
38.4,9,car,high,6912.0
88.7,63,car,low,10644.0
68.3,20,car,high,12294.0
79.9,20,car,high,14382.0
52.0,59,bike,low,2080.0
88.2,54,car,low,10584.0
77.8,9,car,high,14004.0
42.4,17,car,high,7632.0
22.4,40,bike,medium,1075.2
95.0,20,bike,high,5700.0
90.9,38,bike,medium,4363.2
83.3,19,car,high,14994.0
30.8,7,car,high,5544.0
48.2,28,car,medium,6940.8
